p_column,threshold,pfa,pd
p_0.01,0.9276095467787396,1.0,1.0
p_0.01,0.9276116888695828,1.0,1.0
p_0.01,0.9276138309604258,1.0,1.0
p_0.01,0.9276159730512689,1.0,1.0
p_0.01,0.927618115142112,1.0,1.0
p_0.01,0.927620257232955,1.0,1.0
p_0.01,0.9276223993237981,1.0,1.0
p_0.01,0.9276245414146412,1.0,1.0
p_0.01,0.9276266835054843,1.0,1.0
p_0.01,0.9276288255963273,1.0,1.0
p_0.01,0.9276309676871703,1.0,1.0
p_0.01,0.9276331097780135,1.0,1.0
p_0.01,0.9276352518688565,1.0,1.0
p_0.01,0.9276373939596996,1.0,1.0
p_0.01,0.9276395360505427,1.0,1.0
p_0.01,0.9276416781413858,1.0,1.0
p_0.01,0.9276438202322288,1.0,1.0
p_0.01,0.927645962323072,1.0,1.0
p_0.01,0.927648104413915,1.0,1.0
p_0.01,0.927650246504758,1.0,1.0
p_0.01,0.9276523885956011,1.0,1.0
p_0.01,0.9276545306864442,1.0,1.0
p_0.01,0.9276566727772873,1.0,1.0
p_0.01,0.9276588148681303,1.0,1.0
p_0.01,0.9276609569589734,1.0,1.0
p_0.01,0.9276630990498165,1.0,1.0
p_0.01,0.9276652411406595,1.0,1.0
p_0.01,0.9276673832315027,1.0,1.0
p_0.01,0.9276695253223457,1.0,1.0
p_0.01,0.9276716674131887,1.0,1.0
p_0.01,0.9276738095040318,1.0,1.0
p_0.01,0.9276759515948749,1.0,1.0
p_0.01,0.927678093685718,1.0,1.0
p_0.01,0.927680235776561,1.0,1.0
p_0.01,0.9276823778674042,1.0,1.0
p_0.01,0.9276845199582472,1.0,1.0
p_0.01,0.9276866620490902,1.0,1.0
p_0.01,0.9276888041399334,1.0,1.0
p_0.01,0.9276909462307764,1.0,1.0
p_0.01,0.9276930883216195,1.0,1.0
p_0.01,0.9276952304124625,1.0,1.0
p_0.01,0.9276973725033056,1.0,1.0
p_0.01,0.9276995145941487,1.0,1.0
p_0.01,0.9277016566849917,1.0,1.0
p_0.01,0.9277037987758349,1.0,1.0
p_0.01,0.9277059408666779,1.0,1.0
p_0.01,0.9277080829575209,1.0,1.0
p_0.01,0.9277102250483641,1.0,1.0
p_0.01,0.9277123671392071,1.0,1.0
p_0.01,0.9277145092300502,1.0,1.0
p_0.01,0.9277166513208932,1.0,1.0
p_0.01,0.9277187934117364,1.0,1.0
p_0.01,0.9277209355025794,1.0,1.0
p_0.01,0.9277230775934224,1.0,1.0
p_0.01,0.9277252196842656,1.0,1.0
p_0.01,0.9277273617751086,1.0,1.0
p_0.01,0.9277295038659517,1.0,1.0
